1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
2,'Alaska',000000008PGH-30,'Indian Tribal Government','122','Kenai Peninsula Borough','0','0','No Place Code',1997,10,'Steel','Stringer/Multi-beam or Girder',1,35.1,'DOG SALMON CREEK        ','IRR BIA RTE 8PGH  ','Fair',28,564.4
2,'Alaska',000Elim 2537-20,'City or Municipal Highway Agency','180','Nome Census Area','22250','','',1970,0,'Wood or Timber','Stringer/Multi-beam or Girder',1,93.2,'Elim Creek              ','IRR BIA RTE 2537  ','Poor',51,917.1
2,'Alaska',           1238,'State Highway Agency','198','Prince of Wales-Hyder Census Area','34570','0','No Place Code',2013,120,'Prestressed Concrete','Tee Beam',9,766.1,'HYDER HARBOR ACCESS     ','SALMON RIVER ROAD ','Good',12,19353
2,'Alaska',           1217,'State Highway Agency','198','Prince of Wales-Hyder Census Area','34570','34570','Hyder CDP',1965,390,'Wood or Timber','Stringer/Multi-beam or Girder',1,41,'FISH CREEK              ','SALMON RIVER ROAD ','Fair',60,1116.8
2,'Alaska',100552000014255,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',2010,5,'Wood or Timber','Slab',1,40,'NO DATA ENTERED         ','8400000           ','Good',15,722.3
2,'Alaska',100520000001146,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',1987,5,'Wood or Timber','Stringer/Multi-beam or Girder',1,82,'PERM                    ','8440000           ','Good',38,1372.4
2,'Alaska',100552000014266,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',2011,5,'Wood or Timber','Slab',1,40,'RED BULL SLOUGH         ','8440000           ','Good',14,722.3
2,'Alaska',100552000003109,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',2003,5,'Steel','Stringer/Multi-beam or Girder',1,121.1,'PERM                    ','NO DATA ENTERED   ','Good',22,2184.5
2,'Alaska',100520000001145,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',1982,5,'Wood or Timber','Stringer/Multi-beam or Girder',1,70.9,'PERM                    ','8430000           ','Fair',43,1255.5
2,'Alaska',100552000014263,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',2011,5,'Wood or Timber','Slab',1,40,'ELDERBERRY CREEK        ','8430000           ','Good',14,722.3
