1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
27,'Minnesota',090907000001017,'U.S. Forest Service','075','Lake County','0','0','No Place Code',1998,5,'Steel','Culvert',3,24.9,'LITTLE ISABELLA RIVER   ','ARROWHEAD CR. RD  ','Good',27,449.9
27,'Minnesota',090902000001025,'U.S. Forest Service','031','Cook County','0','','',2001,3,'Steel','Culvert',3,45.9,'BRULE RIVER             ','LIMA MTN. ROAD    ','Good',17,648
27,'Minnesota',5706           ,'State Highway Agency','055','Houston County','31814','0','No Place Code',1937,1447,'Steel','Stringer/Multi-beam or Girder',3,154.9,'WINNEBAGO CREEK         ','MN 26             ','Fair',88,5182.2
27,'Minnesota',91656          ,'State Highway Agency','055','Houston County','31814','0','No Place Code',1979,1447,'Concrete','Culvert',3,42.7,'STREAM                  ','MN 26             ','Good',46,1371.3
27,'Minnesota',5873           ,'State Highway Agency','055','Houston County','31814','0','No Place Code',1947,1447,'Concrete','Culvert',2,31.2,'STREAM                  ','MN 26             ','Fair',78,1002.1
27,'Minnesota',28524          ,'County Highway Agency','055','Houston County','31814','0','No Place Code',2003,66,'Concrete Continuous','Slab',3,114.5,'WINNEBAGO CREEK         ','CSAH 5            ','Good',22,4432.8
27,'Minnesota',5807           ,'State Highway Agency','055','Houston County','13816','0','No Place Code',1939,1567,'Steel','Stringer/Multi-beam or Girder',3,170.3,'CROOKED CREEK           ','MN 26             ','Fair',86,6033.4
27,'Minnesota',28J11          ,'County Highway Agency','055','Houston County','31814','0','No Place Code',2004,66,'Concrete','Culvert',2,30.8,'WINNEBEGO CRK TRIB      ','CSAH 5            ','Good',21,991.6
27,'Minnesota',28J30          ,'County Highway Agency','055','Houston County','31814','0','No Place Code',2010,66,'Concrete','Culvert',2,35.8,'STREAM                  ','CSAH 5            ','Good',15,1149.8
27,'Minnesota',96085          ,'State Highway Agency','055','Houston County','8236','0','No Place Code',1986,1567,'Concrete','Culvert',2,26.6,'STREAM                  ','MN 26             ','Fair',39,959.1
27,'Minnesota',28532          ,'Town or Township Highway Agency','055','Houston County','13816','0','No Place Code',2003,20,'Concrete Continuous','Slab',3,73.5,'CROOKED CREEK           ','T 108             ','Good',22,2290.6
27,'Minnesota',28J49          ,'County Highway Agency','055','Houston County','13816','0','No Place Code',2015,182,'Concrete','Culvert',2,28.5,'STREAM                  ','CR 249            ','Good',10,917.7
27,'Minnesota',28007          ,'State Highway Agency','055','Houston County','8218','0','No Place Code',2015,1567,'Prestressed Concrete','Stringer/Multi-beam or Girder',3,124,'WILDCAT CREEK           ','MN 26             ','Good',10,5370.8
27,'Minnesota',91590          ,'County Highway Agency','055','Houston County','8218','0','No Place Code',1979,347,'Concrete','Culvert',2,29.5,'SPRING BROOK            ','CSAH 18           ','Fair',46,823.4
27,'Minnesota',8842           ,'State Highway Agency','055','Houston County','8236','0','No Place Code',1956,2636,'Concrete','Culvert',2,26.6,'STREAM                  ','MN 26             ','Poor',69,1116
27,'Minnesota',28J09          ,'Town or Township Highway Agency','055','Houston County','8236','0','No Place Code',2001,48,'Concrete','Culvert',3,36.7,'STREAM                  ','T 105             ','Good',24,952.4
27,'Minnesota',28555          ,'County Highway Agency','055','Houston County','8218','0','No Place Code',2014,830,'Prestressed Concrete','Stringer/Multi-beam or Girder',3,136.2,'WILDCAT CREEK           ','CSAH 3            ','Good',11,4824.4
27,'Minnesota',91489          ,'Town or Township Highway Agency','055','Houston County','13816','0','No Place Code',1977,12,'Concrete','Culvert',3,39.4,'CROOKED CREEK           ','T 138             ','Fair',48,632.9
27,'Minnesota',28J18          ,'County Highway Agency','055','Houston County','70960','0','No Place Code',2008,13,'Concrete','Culvert',2,30.2,'DRY RUN                 ','CSAH 31           ','Good',17,722.9
27,'Minnesota',28540          ,'County Highway Agency','055','Houston County','70960','0','No Place Code',2008,13,'Concrete Continuous','Slab',3,65,'NEW YORK HOLLOW CREEK   ','CSAH 31           ','Good',17,1896.8
27,'Minnesota',28516          ,'County Highway Agency','055','Houston County','70960','0','No Place Code',1996,66,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,110.6,'WINNEBAGO CREEK         ','CSAH 5            ','Good',29,4352.9
27,'Minnesota',28535          ,'County Highway Agency','055','Houston County','13816','0','No Place Code',2005,155,'Concrete Continuous','Slab',3,119.8,'BENSON CREEK            ','CSAH 24           ','Good',20,4714.6
