1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
38,'North Dakota',010807000001044,'U.S. Forest Service','007','Billings County','0','0','No Place Code',1983,50,'Steel','Culvert',1,22.6,'WHITETAIL CREEK         ','1 LANE GRAVEL RD  ','Fair',42,363.9
38,'North Dakota',010807000001045,'U.S. Forest Service','007','Billings County','0','0','No Place Code',1983,50,'Steel','Culvert',1,22.6,'WHITETAIL CREEK         ','1 LANE GRAVEL RD  ','Good',42,430.8
38,'North Dakota',0011182459     ,'State Highway Agency','077','Richland County','0','0','No Place Code',1961,630,'Concrete Continuous','Tee Beam',3,115.2,'BOIS DE SIOUX RIVER     ','ND HIGHWAY 11     ','Fair',64,4118.2
38,'North Dakota',000000039133451,'County Highway Agency','077','Richland County','0','0','No Place Code',1954,20,'Steel','Stringer/Multi-beam or Girder',1,30.8,'COUNTY DRAIN 39         ','COUNTY HIGHWAY    ','Fair',71,809.4
38,'North Dakota',000000039133460,'County Highway Agency','077','Richland County','0','0','No Place Code',2015,37,'Steel','Stringer/Multi-beam or Girder',1,29.9,'COUNTY DRAIN NO. 35     ','100TH ST SE       ','Good',10,891.4
38,'North Dakota',0127001670     ,'State Highway Agency','077','Richland County','0','0','No Place Code',2011,420,'Concrete','Culvert',1,23.6,'DRAINAGE DITCH          ','ND HIGHWAY 127    ','Good',14,759.5
38,'North Dakota',000000039133450,'County Highway Agency','077','Richland County','0','0','No Place Code',1972,20,'Concrete','Channel Beam',1,27.9,'COUNTY DRAIN 39         ','COUNTY HIGHWAY    ','Poor',53,814.3
38,'North Dakota',000000039135370,'County Highway Agency','077','Richland County','0','0','No Place Code',2003,50,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',3,146,'BOIS DE SIOUX RIVER     ','COUNTY HIGHWAY    ','Good',22,4694.1
38,'North Dakota',000000039133430,'County Highway Agency','077','Richland County','0','0','No Place Code',1972,20,'Concrete','Channel Beam',1,27.9,'COUNTY DRAIN 39         ','COUNTY HIGHWAY    ','Fair',53,814.3
38,'North Dakota',0127005362     ,'State Highway Agency','077','Richland County','25340','0','No Place Code',1956,540,'Concrete','Slab',1,22,'COUNTY DRAIN 3          ','ND HIGHWAY 127    ','Poor',67,858.2
38,'North Dakota',000000039131430,'County Highway Agency','077','Richland County','0','0','No Place Code',1924,20,'Steel','Truss - Thru',1,35.1,'COUNTY DRAIN            ','COUNTY HIGHWAY    ','Poor',101,691
38,'North Dakota',000000039134330,'County Highway Agency','077','Richland County','0','0','No Place Code',1983,345,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',3,155.8,'BOIS DE SIOUX RIVER     ','COUNTY HIGHWAY    ','Good',42,5624.1
38,'North Dakota',000000039130430,'County Highway Agency','077','Richland County','0','0','No Place Code',1938,20,'Steel','Truss - Thru',1,34.1,'COUNTY DRAIN            ','COUNTY HIGHWAY    ','Poor',87,694.1
38,'North Dakota',000000039129430,'County Highway Agency','077','Richland County','0','0','No Place Code',1938,37,'Concrete','Channel Beam',1,30.8,'COUNTY DRAIN NO. 3      ','COUNTY HIGHWAY    ','Fair',87,789.2
