1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
56,'Wyoming',020201000001044,'U.S. Forest Service','019','Johnson County','0','0','No Place Code',1961,20,'Steel','Culvert',1,23.6,'CRAZY WOMAN CREEK       ','FSR 33            ','Fair',64,286.8
56,'Wyoming',021403000003002,'U.S. Forest Service','013','Fremont County','0','0','No Place Code',2011,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,49.9,'LITTLE POPO AGIE RIVER  ','FDR               ','Good',14,605.4
56,'Wyoming',040101000001047,'U.S. Forest Service','037','Sweetwater County','0','0','No Place Code',1963,20,'Concrete','Culvert',2,29.5,'LINWOOD                 ','LUCERNE           ','Good',62,707.2
56,'Wyoming',020605000032365,'U.S. Forest Service','001','Albany County','0','0','No Place Code',2014,50,'Steel','Culvert',1,21.7,'LAKE CREEK              ','NFSR 512          ','Good',11,476
56,'Wyoming',020602000001009,'U.S. Forest Service','007','Carbon County','0','0','No Place Code',1967,50,'Steel','Culvert',1,20.3,'N.F. ENCAMPMENT RIVER   ','NFSR 550          ','Good',58,533.9
56,'Wyoming',020602000001054,'U.S. Forest Service','007','Carbon County','0','0','No Place Code',1972,50,'Steel','Culvert',2,42.3,'E. FORK ENCAMPMENT RIVER','NFSR 496          ','Good',53,722
56,'Wyoming',020602000001022,'U.S. Forest Service','007','Carbon County','0','0','No Place Code',1986,12,'Aluminum, Wrought Iron or Cast Iron','Culvert',1,34.1,'COW CREEK               ','Forest Road 443   ','Good',39,649.3
56,'Wyoming',MUT            ,'State Highway Agency','021','Laramie County','61435','61435','Pine Bluffs town',2016,4939,'Steel Continuous','Stringer/Multi-beam or Girder',3,160.1,'La CR 164-1 (Beech St)  ','I-80 EBL          ','Good',9,6933.7
56,'Wyoming',MUV            ,'State Highway Agency','021','Laramie County','61435','61435','Pine Bluffs town',2015,4221,'Steel Continuous','Stringer/Multi-beam or Girder',3,149.9,'La CR 164-1 (Beech St)  ','I-80 WBL          ','Good',10,6493.2
56,'Wyoming',MUR            ,'State Highway Agency','021','Laramie County','61435','61435','Pine Bluffs town',2017,5517,'Steel Continuous','Stringer/Multi-beam or Girder',3,160.1,'Parsons Street          ','I-80 EBL          ','Good',8,6933.7
